%!I(MISSING)D	X	Y	Z	SNR
205	122.936948	168.063491	1.100000	6.03
206	-105.925051	-19.774012	1.100000	16.84
207	278.476824	128.467456	1.100000	-1.34
208	82.340868	192.785209	1.100000	5.91
209	186.152465	181.491265	1.100000	1.85
210	-239.441260	5.517257	1.100000	3.35
211	15.203422	62.426456	1.100000	24.11
212	118.805236	248.193559	1.100000	0.45
213	-255.315039	132.162153	1.100000	0.02
214	-129.964059	93.781510	1.100000	10.60
215	-111.715968	-227.156246	1.100000	2.23
216	-178.173453	-171.318072	1.100000	2.86
217	-34.354567	6.121431	1.100000	30.96
218	5.431868	83.157947	1.100000	20.59
219	176.617381	39.037884	1.100000	8.54
220	206.830114	-108.915992	1.100000	4.01
221	8.284850	4.745341	1.100000	37.08
222	41.223909	31.272155	1.100000	26.80
223	-143.494245	-228.021267	1.100000	0.89
224	-43.575583	312.238600	1.100000	-2.01
225	190.849267	5.916626	1.100000	7.58
226	19.744822	203.861930	1.100000	6.40
227	-2.060753	-84.546861	1.100000	20.38
228	82.956025	-274.820217	1.100000	-0.30
229	-78.909448	22.125817	1.100000	20.82
230	77.042796	-76.375991	1.100000	16.74
231	-68.267945	249.472575	1.100000	1.93
232	-161.886299	-23.002007	1.100000	10.25
233	-70.708054	161.473742	1.100000	8.97
234	164.719759	-207.682725	1.100000	1.31
235	276.988132	104.884307	1.100000	-0.72
236	-189.968299	-64.543539	1.100000	6.75
237	15.713025	295.305045	1.100000	-0.55
238	138.598044	-67.103856	1.100000	11.25
239	-33.767305	-8.736451	1.100000	30.96
240	-141.593740	47.535634	1.100000	11.74
241	-25.526482	-253.924704	1.100000	2.34
242	-74.160600	30.477407	1.100000	21.13
243	-226.732323	-112.151416	1.100000	2.52
244	203.612719	161.737224	1.100000	1.94
245	89.393104	-128.559154	1.100000	10.96
246	-291.910565	-104.985457	1.100000	-1.75
247	172.415216	-198.404482	1.100000	1.53
248	139.602227	-166.733375	1.100000	5.24
249	244.540915	44.375933	1.100000	2.67
250	-43.623553	-83.827800	1.100000	18.78
251	106.178352	160.492968	1.100000	7.44
252	106.075478	162.553796	1.100000	7.29
253	-218.029258	72.277303	1.100000	4.28
254	64.849613	-57.125053	1.100000	20.07
255	-34.049100	-276.516279	1.100000	0.59
256	222.893874	-179.124083	1.100000	0.02
257	102.179456	171.804158	1.100000	6.76
258	149.608898	-185.474540	1.100000	3.49
259	121.765223	-137.080533	1.100000	8.31
260	10.316556	-271.743236	1.100000	1.13
261	-55.078926	-264.091841	1.100000	1.15
262	186.074374	-4.810195	1.100000	8.03
263	-179.025610	11.790097	1.100000	8.67
264	-181.253122	-139.390075	1.100000	4.40
265	-208.745705	-199.469177	1.100000	-0.33
266	-165.013803	248.008411	1.100000	-1.41
267	-120.752586	85.063130	1.100000	11.93
268	150.388728	116.051875	1.100000	7.72
269	136.915121	-269.271987	1.100000	-1.76
270	-67.316938	-184.405695	1.100000	7.10
271	186.785943	181.381207	1.100000	1.82
272	-65.141033	-72.726781	1.100000	18.30
273	301.808654	-22.869397	1.100000	-1.79
274	284.488495	51.793516	1.100000	-0.55
275	151.396575	210.635140	1.100000	1.74
276	-102.379520	-289.474475	1.100000	-1.94
277	187.593543	-47.042528	1.100000	7.38
278	226.409134	96.930986	1.100000	3.01
279	-202.594439	-84.342659	1.100000	5.16
