TAG,SINR,DISTANCE,RXNODE,TXNODE
2,19.02,97.39,547,0
0,-1.81,315.98,336,0
2,12.43,146.00,404,0
2,6.46,205.97,431,0
2,11.98,150.06,505,0
0,-1.08,303.47,67,0
1,3.17,246.03,118,0
0,-2.96,333.93,342,0
2,20.42,89.15,370,0
0,-0.40,289.34,380,0
1,1.94,261.91,398,0
2,22.69,77.14,422,0
1,1.28,271.40,430,0
1,4.38,230.85,462,0
2,6.03,210.41,351,0
2,7.48,194.58,395,0
2,16.74,112.23,68,0
0,0.02,287.41,256,0
0,0.73,274.20,293,0
1,1.82,259.66,529,0
0,-1.89,314.52,307,0
1,4.03,235.36,484,0
1,4.89,223.52,519,0
1,1.57,263.84,527,0
0,-1.65,309.41,84,0
0,0.15,284.79,95,0
1,3.36,241.13,203,0
2,18.30,101.82,272,0
0,0.24,285.26,441,0
2,8.30,185.80,480,0
1,5.48,217.49,552,0
0,0.07,288.41,76,0
0,0.02,288.94,213,0
2,6.19,208.74,341,0
2,9.09,177.39,376,0
2,20.89,86.52,392,0
2,9.04,178.33,499,0
2,14.17,131.44,140,0
0,-1.04,297.02,178,0
1,5.68,214.71,200,0
2,8.86,179.75,284,0
0,0.13,281.47,386,0
0,-0.84,298.42,488,0
1,2.72,248.71,533,0
2,16.59,113.28,340,0
1,5.23,219.28,450,0
2,8.45,184.47,528,0
2,22.89,76.21,122,0
1,2.43,253.44,359,0
0,-0.28,286.24,562,0
2,6.82,201.50,509,0
2,23.49,73.30,63,0
0,0.47,278.29,174,0
0,-1.51,301.23,334,0
2,8.59,182.86,538,0
1,5.81,213.75,81,0
2,30.20,47.59,184,0
0,-1.76,303.46,269,0
2,12.29,147.18,512,0
1,1.14,268.31,147,0
1,4.65,226.62,163,0
2,37.08,30.44,221,0
1,1.53,264.44,247,0
2,10.72,161.61,467,0
0,-1.34,308.04,207,0
0,0.84,271.53,391,0
2,30.91,45.45,73,0
2,20.82,86.90,229,0
1,4.54,228.57,290,0
0,-1.10,301.65,349,0
2,10.37,164.82,188,0
2,7.44,194.59,251,0
1,2.47,254.33,304,0
1,2.52,254.06,420,0
0,-0.96,295.60,546,0
0,0.74,274.02,83,0
1,1.33,266.04,319,0
1,4.20,232.05,504,0
0,-2.54,326.41,112,0
2,6.62,203.68,156,0
1,5.13,221.05,401,0
0,0.38,281.93,534,0
2,7.18,197.60,89,0
0,-1.79,305.51,105,0
1,3.35,241.24,210,0
0,0.38,279.50,466,0
0,0.77,278.30,472,0
0,-2.29,322.73,107,0
2,11.46,154.70,421,0
2,21.79,81.72,435,0
2,12.99,141.19,481,0
2,12.10,148.99,520,0
1,2.98,247.31,110,0
0,-2.01,316.59,224,0
2,6.75,202.70,236,0
0,-0.28,287.63,513,0
1,5.24,219.37,248,0
1,1.13,273.47,260,0
2,27.78,55.66,449,0
2,15.78,119.10,381,0
2,12.98,141.34,428,0
2,26.80,59.27,222,0
1,3.42,243.09,354,0
2,18.31,101.79,389,0
2,6.67,203.86,390,0
0,-0.38,294.10,399,0
1,3.42,241.34,475,0
1,1.14,268.20,463,0
1,2.15,256.94,87,0
0,0.41,281.22,154,0
0,-0.56,290.64,172,0
1,2.43,254.57,312,0
1,4.88,224.36,303,0
1,4.50,227.90,362,0
1,1.14,272.85,550,0
1,4.00,235.11,65,0
2,7.41,195.52,129,0
1,1.69,262.59,296,0
1,1.51,263.52,412,0
1,4.33,231.60,522,0
2,27.84,55.45,99,0
1,1.93,260.25,231,0
0,0.79,272.35,365,0
0,-1.87,316.73,167,0
2,12.94,141.58,195,0
1,6.03,210.22,205,0
2,11.93,150.51,267,0
2,11.51,154.20,549,0
2,19.78,92.81,133,0
2,20.38,89.37,227,0
2,10.25,166.05,232,0
1,5.53,216.87,350,0
2,29.47,49.89,93,0
1,2.58,253.18,130,0
1,1.22,267.24,347,0
2,9.69,171.44,402,0
1,2.35,253.94,437,0
1,2.08,258.01,448,0
2,13.31,138.56,511,0
1,4.45,230.13,283,0
1,4.29,231.16,352,0
0,0.04,281.45,551,0
2,24.05,70.74,556,0
2,21.34,84.09,176,0
1,2.02,258.66,189,0
2,7.38,195.55,277,0
0,-0.94,303.03,429,0
0,-2.64,326.09,124,0
0,-0.19,285.99,363,0
0,0.65,275.03,479,0
2,14.25,130.82,518,0
2,37.15,30.29,116,0
